ticker,price,pct_from_hi,pct_above_lo,ret_1y,rs_vs_spy,vol_ratio,all_pass,vcp_score,atr_ratio,range5_pct,ret_6m,ret_15d,contracting_pbs,vol_dry_up,atr_compression,tight_range,power_play,breakout_confirm,pct_to_pivot,setup_score,ret_1m,ret_3m,qm_momentum,qm_ema_ride,adr_pct,qm_adr_pct,qm_consolidation,qm_score,adv_usd
RRX,205.39999389648438,-8.155911024092987,114.51570004600717,114.51570004600717,77.87210848476863,0.8014985019485932,True,1,0.9186558628217752,11.455695948635379,43.48102292589242,9.826691085481709,False,False,False,False,False,False,-2.195133913115499,1,11.095408261839012,28.53927181067799,False,True,4.601870842779925,False,False,1,207449105.0721756
RS,325.5400085449219,-9.300694276459854,23.46446261631403,20.28882728459005,-16.35476427664848,0.6582481376830208,False,1,0.8000343599990316,3.059538524058817,21.951148409197142,8.65821158643223,False,True,False,True,False,False,0.3607033465939713,2,10.002029417897361,0.8712493117124742,False,True,2.4015358487076672,False,True,2,87340675.799469
RSG,207.66000366210938,-18.650198338322898,2.325018708676163,-13.821506518349114,-50.46509807958765,1.3876771169485471,False,1,0.873814476053088,4.242510547639591,-4.290955030862165,-4.151577523959105,False,False,False,True,False,False,-6.958196428791174,2,-6.18952283318931,-1.2846653572521238,False,False,1.9074058424779365,False,True,1,352643341.7309494
RTX,196.4199981689453,-7.4189315712078985,75.59183180174843,54.534399098766094,17.890807537527564,1.1029016911540261,False,1,0.8571769960121172,5.299869544421589,25.97980303723675,1.8511755003592922,False,False,False,True,False,False,-3.469627337739445,2,-3.9792723341800174,-2.4007557079560926,False,False,2.187558978688338,False,True,1,840115716.0097396
RUN,12.399999618530273,-42.08314008919015,114.53285758516304,90.03830555242334,53.39471399118481,2.1005237440745694,False,1,0.6517459640282289,12.661288250993552,-38.430983146386644,0.0,False,False,False,False,False,False,-12.367491499492832,1,-3.049259925613401,-31.980252715853176,False,False,5.779827167149025,True,False,1,109727562.8130867
RVMD,148.6300048828125,-2.5632546056207017,328.3285349133289,310.58011533241665,273.93652377117814,1.371493472893446,True,2,1.9778899573260778,19.30969252868607,199.1747261872055,59.45714659659509,True,False,False,False,False,False,-2.5632546056207017,2,51.49322592821448,23.57000863920473,True,False,4.014006116255466,False,False,1,460553544.6395981
RVTY,93.95999908447266,-20.203822433568874,14.045004324079958,0.5082079020158892,-36.13538365922264,0.9001148261486858,False,3,0.9099285471434103,6.534695029241547,0.0926925290065439,7.851235218376962,True,True,False,True,False,False,0.4812286792450271,4,10.632283936005793,-16.480000813802086,False,True,3.3194188022059463,False,True,2,76469292.0280838
RY,178.44000244140625,0.0,57.62638541084615,57.0674267099446,20.42383514870607,0.4082982338977896,True,0,0.8122218395472327,5.363142756385107,22.79953577829592,11.392720970008984,False,False,False,True,False,False,1.4151779121067687,1,9.910684159526006,5.4734662291722636,False,True,1.3793572859598002,False,True,2,246779900.402536
RYAAY,62.029998779296875,-15.414740963238726,40.789405671666536,39.44943994824328,2.805848387004751,1.193398825336823,False,1,1.3076235878516185,10.672253848398036,1.3321032821714152,2.207942301712573,False,False,False,False,False,False,-3.3800596138575445,1,3.729096272051957,-9.153485810979623,False,False,2.8364595416814637,False,False,0,91367682.13440247
RYAN,37.45000076293945,-47.57589120461101,17.989921338994797,-47.572145293185095,-84.21573685442362,0.7590712720222541,False,1,0.7167349999373661,9.839779662275538,-27.89542600214434,13.347456795437317,False,False,False,False,False,False,0.2140803675175551,1,6.938892842410205,-27.01012445008302,False,True,3.7453254938392564,False,False,1,64704336.83486061
RYTM,88.69000244140625,-24.59615680124312,56.171863024493994,44.587548452532054,7.943956891293524,0.6511546313799622,False,3,0.6954557304540354,7.700982797431968,-20.228456378878555,8.290599253996135,False,True,False,True,False,False,0.6468448445961172,4,3.2960654681307933,-12.732456126851389,False,False,5.55985449377492,True,True,2,82695208.24972686
S,14.020000457763672,-31.071778010877328,17.420443471352275,-18.011695058461353,-54.65528661969988,0.818601888975691,False,1,0.9749853572768642,17.403712228172218,-16.646844755426194,4.626872066294885,False,False,False,False,False,False,0.6460886619970241,1,-2.5034746440350975,0.8633154138610433,False,False,4.7859287311173855,False,False,0,110917081.92463474
SAIA,434.2200012207031,0.0,83.48616624542996,36.33281043036205,-0.3107811308764781,1.1846725719708953,False,1,0.9572212645856932,13.495457468840225,42.69002159125439,28.932835321156336,False,False,False,False,False,False,2.759372332799326,1,34.587606437418295,23.748178373145024,True,False,4.268500480973625,False,False,1,185108937.9100952
SAIC,95.37999725341797,-21.61265664665628,16.459264515969174,-16.856185204585316,-53.499776765823846,0.7962151394422311,False,2,0.8431882189588723,6.353530858774048,-0.838053943813355,-3.669203557143219,False,True,False,True,False,False,-5.110687462955344,3,-0.6713572742090612,-13.837114880244538,False,False,3.204193699077869,False,True,1,58498651.38080521
SAN,12.880000114440918,-2.4981069095617148,95.80726140552454,95.80726140552454,59.16366984428601,0.7821135724631884,True,2,0.8231571394976849,7.99689226567915,30.10101627006978,19.591453732541208,False,True,False,True,False,False,2.5477681857751344,3,16.455692818927513,5.314804550562835,False,True,2.3712286928227684,False,True,2,125325930.22460285
SANM,174.08999633789062,-4.629120882565585,138.28360546860316,131.56423999895273,94.92064843771419,1.689784139058486,False,1,0.9628717207202067,17.43925627491309,30.77674483434034,32.923566248216,False,False,False,False,False,True,3.030120778954082,2,39.238581170583316,-1.8879655418297503,True,False,4.658404971883061,False,False,1,88912878.79409485
SAP,181.22000122070312,-41.9036304697181,11.109745210976364,-29.799414299306015,-66.44300586054455,1.9759126767128254,False,1,1.120482664561847,14.247879456072422,-32.81678365034326,8.46301127285496,False,False,False,False,False,True,2.1475663603785167,2,-1.371505495331382,-22.419622388894467,False,False,2.84756951609113,False,False,0,588785736.8748795
SARO,26.760000228881836,-19.202895253961294,10.487204737973844,5.938242226478385,-30.705349334760143,0.5056332342471284,False,2,1.0092707565841748,8.034378176909721,-4.086019373603456,1.7877493228876329,False,True,False,False,False,False,-3.8793100495211785,2,-1.4727526538200086,-17.610835572569272,False,False,3.0870075028102164,False,False,0,94345644.91887188
SATL,6.929999828338623,-8.211925122294517,445.6692860170692,73.24999570846558,36.606404147227046,0.5267391054957821,False,3,1.482362389273361,20.057725508717485,138.14431697380468,7.943921277008514,True,False,False,False,False,False,-8.211925122294517,3,134.12161280501067,94.66291965521458,True,False,16.038668034380414,True,False,2,102217674.03638053
SATS,133.2100067138672,0.0,733.0832308983325,502.7602009706764,466.1166094094379,0.6564536700627557,True,2,0.9853028510825467,8.167558242214163,84.16978202905815,19.57810133684934,False,True,False,False,False,False,0.5358541236733405,2,23.628776532591367,8.063608616444196,False,True,5.683624832204469,True,False,2,1050585161.5875671
SBAC,223.13999938964844,-6.276824429739225,35.11353777555213,1.0866412507126721,-35.556950310525856,0.507867592254293,False,1,1.2697392424997542,5.176123995406636,14.428028988814079,34.284167929508925,False,False,False,True,False,False,-0.2726259711068435,2,21.91444073532307,15.738591673965118,False,True,4.036338848255585,False,True,2,346153945.97077405
SBET,7.989999771118164,-89.9128899590097,217.06348538068352,189.49274633066463,152.8491547694261,1.0592444076768532,False,1,0.8571712714391873,22.46558357588968,-45.161290744868744,22.358338658501587,False,False,False,False,False,False,3.2299742557212463,1,1.5247762046257884,-27.36363844438032,False,False,5.712027944440856,True,False,1,50564295.77691917
SBSW,13.800000190734863,-32.76280675009825,214.8668626177839,189.80604292110237,153.16245135986384,0.9979630675000084,False,3,0.7376406036020396,11.44927465121954,10.768302412983722,22.994651179177474,True,True,False,False,False,False,2.9082799982135477,3,13.694926861432567,-15.322030101560792,False,True,4.5055514122102505,False,False,1,68498794.51924857
SBUX,100.0,-1.4195607322052495,29.202135021120345,27.24021191428605,-9.40337964695248,1.0671304333874603,False,2,0.8389062058238734,5.980003356933594,20.194450323503087,9.625080751812343,False,True,False,True,False,False,1.553771463724929,3,7.921428931361141,8.231960830652563,False,True,2.4613443171537126,False,True,2,686278337.8380585
